T1,T2,S1,S2,Draw,ELO1,ELO2,Prob1,Prob2
Sweden,Estonia,1,1,1,1710,1444,0.8221846112,0.1778153888
Finland,Sweden,0,3,0,1550,1710,0.284747249,0.715252751
Finland,Iceland,0,1,0,1550,1728,0.2641225559,0.7358774441
Iceland,U.A.E.,1,2,0,1728,#N/A,#N/A,#N/A
Iceland,United States,2,3,0,1728,1747,0.472684027,0.527315973
Macedonia,Slovenia,0,1,0,1407,1588,0.2607797459,0.7392202541
Croatia,Israel,2,0,0,1826,1546,0.8336624692,0.1663375308
Gibraltar,Liechtenstein,0,0,1,1079,1166,0.3773498042,0.6226501958
Romania,Lithuania,1,0,0,1689,1417,0.827178017,0.172821983
Serbia,Poland,0,1,0,1710,1794,0.3814158779,0.6185841221
Estonia,Norway,0,0,1,1444,1610,0.2777654664,0.7222345336
Moldova,Malta,0,0,1,1326,1205,0.6674184219,0.3325815781
Montenegro,Greece,1,2,0,1527,1592,0.4075337694,0.5924662306
Sweden,Turkey,1,2,0,1710,1790,0.3868631798,0.6131368202
Cyprus,Ukraine,0,1,0,1393,1714,0.1361285237,0.8638714763
Iceland,Denmark,1,2,0,1728,1722,0.5086338358,0.4913661642
Spain,Italy,1,1,1,1918,1919,0.4985608883,0.5014391117
Czech Republic,Scotland,0,1,0,#N/A,1686,#N/A,#N/A
Northern Ireland,Wales,1,1,1,1613,1725,0.3441794941,0.6558205059
Belarus,Armenia,0,0,1,1559,1499,0.5854986787,0.4145013213
Luxembourg,Bosnia & Herzegovina,0,3,0,1213,#N/A,#N/A,#N/A
Latvia,Slovakia,0,0,1,1456,1735,0.1671373097,0.8328626903
Rep. of Ireland,Switzerland,1,0,0,#N/A,1776,#N/A,#N/A
Netherlands,France,2,3,0,1903,1953,0.4285368826,0.5714631174
Bulgaria,Portugal,1,0,0,1561,1874,0.1416353958,0.8583646042
Poland,Finland,5,0,0,1794,1550,0.8029091702,0.1970908298
Russia,Lithuania,3,0,0,1670,1417,0.8109791581,0.1890208419
Hungary,Croatia,1,1,1,1695,1826,0.3199293243,0.6800706757
Azerbaijan,Kazakhstan,0,1,0,1368,1395,0.4612219079,0.5387780921
Albania,Austria,1,2,0,1602,1688,0.3787032769,0.6212967231
Germany,England,2,3,0,2033,1889,0.6961287704,0.3038712296
Romania,Spain,0,0,1,1689,1918,0.2111129318,0.7888870682
Andorra,Moldova,0,1,0,939,1326,0.0972859657,0.9027140343
Ukraine,Wales,1,0,0,1714,1725,0.4841750147,0.5158249853
Liechtenstein,Faroe Islands,2,3,0,1166,1203,0.4469531048,0.5530468952
North. Ireland,Slovenia,1,0,0,#N/A,1588,#N/A,#N/A
Belarus,Montenegro,0,0,1,1559,1527,0.5459219228,0.4540780772
Bosnia & Herzegovina,Switzerland,2,0,0,#N/A,1776,#N/A,#N/A
Norway,Finland,2,0,0,1610,1550,0.5854986787,0.4145013213
Bulgaria,Macedonia,2,0,0,1561,1407,0.7081663883,0.2918336117
Germany,Italy,4,1,0,2033,1919,0.6584145209,0.3415854791
Estonia,Serbia,0,1,0,1444,1710,0.1778153888,0.8221846112
Kazakhstan,Georgia,1,1,1,1395,1461,0.4061446148,0.5938553852
Iceland,Greece,3,2,0,1728,1592,0.6863002577,0.3136997423
Sweden,Czech Republic,1,1,1,1710,#N/A,#N/A,#N/A
Austria,Turkey,1,2,0,1688,1790,0.3572869312,0.6427130688
Gibraltar,Latvia,0,5,0,1079,1456,0.1024598859,0.8975401141
Rep. of Ireland,Slovakia,2,2,1,#N/A,1735,#N/A,#N/A
Portugal,Belgium,2,1,0,1874,1924,0.4285368826,0.5714631174
Russia,France,2,4,0,1670,1953,0.1639565745,0.8360434255
Netherlands,England,2,1,0,1903,1889,0.520136722,0.479863278
Denmark,Scotland,0,1,0,1722,1686,0.5516235473,0.4483764527
Luxembourg,Albania,0,2,0,1213,1602,0.0962795616,0.9037204384
Côte d`Ivoire,Hungary,0,0,1,#N/A,1695,#N/A,#N/A
England,Turkey,2,1,0,1889,1790,0.6387377491,0.3612622509
Serbia,Cyprus,2,1,0,1710,1393,0.8611409357,0.1388590643
Congo D.R.,Romania,1,1,1,#N/A,1689,#N/A,#N/A
