T1,T2,S1,S2,A_FT1,A_FT2,A_G,A_W,A_D,A_L,A_GP,A_GM,A_GD,A_P2PA,A_P2PB,A_Perc,A_PP,A_P3P,B_FT1,B_FT2,B_G,B_W,B_D,B_L,B_GP,B_GM,B_GD,B_P2PA,B_P2PB,B_Perc,B_PP,B_P3P
Sweden,Estonia,1,1,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,Finland,3,0,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Finland,Iceland,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
U.A.E.,Iceland,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Iceland,United States,2,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
Macedonia,Slovenia,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Croatia,Israel,2,0,4,1,16,7,2,7,21,17,4,16,16,500,23,23,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2
Liechtenstein,Gibraltar,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,Romania,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Poland,Serbia,1,0,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
